cluster_id,size,majority_label_id,n_classes_in_cluster,class_0_count,class_1_count,class_2_count,class_3_count,class_4_count,class_5_count,class_6_count,class_7_count,class_8_count,class_9_count,class_10_count,split,assignment_score
201,1073,3,11,110,113,154,271,14,59,267,14,17,25,29,validation,16.452608504866536
194,830,0,11,289,96,25,175,37,17,36,42,13,59,41,test,15.2192876054019
208,768,3,11,129,86,122,201,14,88,34,29,22,19,24,test,14.21633959840442
215,661,3,11,158,32,66,217,42,7,25,43,20,20,31,validation,13.37702926271919
253,514,1,1,0,514,0,0,0,0,0,0,0,0,0,test,12.832861722116425
248,401,3,11,20,22,89,151,1,12,81,4,3,8,10,test,12.395574546475281
15,370,4,1,0,0,0,0,370,0,0,0,0,0,0,validation,11.973118249830078
71,362,0,2,361,0,0,0,0,0,0,1,0,0,0,validation,11.615722345587681
144,350,3,1,0,0,0,350,0,0,0,0,0,0,0,validation,11.295544423267856
308,345,1,10,28,140,26,55,20,32,9,0,3,13,19,test,10.949683284722113
107,344,3,10,35,7,25,171,11,13,19,51,1,11,0,test,10.624330311699463
219,320,10,11,47,27,13,51,6,2,75,6,5,6,82,validation,10.319832579032202
61,320,0,1,320,0,0,0,0,0,0,0,0,0,0,test,10.065291296797971
42,316,2,1,0,0,316,0,0,0,0,0,0,0,0,validation,9.802188677516167
47,303,0,10,93,36,15,14,2,2,22,10,84,0,25,test,9.527088082795416
361,303,1,1,0,303,0,0,0,0,0,0,0,0,0,validation,9.290033406296224
2,277,2,1,0,0,277,0,0,0,0,0,0,0,0,test,9.090878662120527
160,267,1,1,0,267,0,0,0,0,0,0,0,0,0,validation,8.900185545223167
83,258,6,1,0,0,0,0,0,0,258,0,0,0,0,test,8.761101333751123
419,243,2,2,0,0,242,0,0,0,1,0,0,0,0,validation,8.598738860680584
447,242,2,1,0,0,242,0,0,0,0,0,0,0,0,test,8.450829260003152
355,240,1,4,0,236,1,1,0,2,0,0,0,0,0,validation,8.302766249419685
244,239,1,1,0,239,0,0,0,0,0,0,0,0,0,validation,8.169644551443206
18,239,2,1,0,0,239,0,0,0,0,0,0,0,0,test,8.03812177459338
439,236,0,1,236,0,0,0,0,0,0,0,0,0,0,validation,7.910353284221994
73,235,0,1,235,0,0,0,0,0,0,0,0,0,0,test,7.790790768514205
118,234,2,7,4,4,142,68,1,0,4,0,0,11,0,validation,7.669921411661334
188,233,1,1,0,233,0,0,0,0,0,0,0,0,0,test,7.560304449027568
287,230,2,1,0,0,230,0,0,0,0,0,0,0,0,validation,7.4587677065943305
300,228,0,2,227,0,0,0,1,0,0,0,0,0,0,test,7.363438402135823
367,228,4,2,8,0,0,0,220,0,0,0,0,0,0,test,7.231245464537652
198,228,0,1,228,0,0,0,0,0,0,0,0,0,0,validation,7.137508743160501
134,226,1,1,0,226,0,0,0,0,0,0,0,0,0,validation,7.05846109585582
12,226,0,1,226,0,0,0,0,0,0,0,0,0,0,test,6.98484050365258
397,222,0,2,221,1,0,0,0,0,0,0,0,0,0,validation,6.913456060239008
154,222,6,1,0,0,0,0,0,0,222,0,0,0,0,train,6.826777774098039
328,220,6,8,32,0,26,77,4,1,78,1,0,1,0,train,6.754364624722426
415,218,3,1,0,0,0,218,0,0,0,0,0,0,0,test,6.683033277944078
357,216,4,1,0,0,0,0,216,0,0,0,0,0,0,train,6.6045012065649455
214,211,1,1,0,211,0,0,0,0,0,0,0,0,0,train,6.5427307367421275
236,210,0,1,210,0,0,0,0,0,0,0,0,0,0,train,6.481777201204645
159,209,2,1,0,0,209,0,0,0,0,0,0,0,0,train,6.420819243557062
475,206,3,4,1,31,0,170,0,0,4,0,0,0,0,train,6.3603887344300745
270,206,3,1,0,0,0,206,0,0,0,0,0,0,0,train,6.300590926657117
209,206,2,1,0,0,206,0,0,0,0,0,0,0,0,train,6.241640413170848
72,204,2,1,0,0,204,0,0,0,0,0,0,0,0,train,6.1837484370451
5,203,1,1,0,203,0,0,0,0,0,0,0,0,0,train,6.126689682242578
23,199,6,9,8,26,3,47,0,2,81,0,2,1,29,train,6.058150282021952
137,199,2,1,0,0,199,0,0,0,0,0,0,0,0,train,6.002744883782784
127,198,3,1,0,0,0,198,0,0,0,0,0,0,0,validation,5.94576138898914
11,194,5,1,0,0,0,0,0,194,0,0,0,0,0,validation,5.848916427837891
100,192,2,1,0,0,192,0,0,0,0,0,0,0,0,train,5.79589635939623
192,191,2,9,7,44,50,39,0,0,19,1,29,1,1,train,5.737497271718962
335,191,5,7,10,0,2,1,10,160,1,7,0,0,0,test,5.659603879968628
223,191,2,1,0,0,191,0,0,0,0,0,0,0,0,train,5.607597877992556
131,189,0,4,148,0,0,7,0,0,0,1,0,0,33,train,5.549350503257486
233,188,0,2,186,2,0,0,0,0,0,0,0,0,0,train,5.4986548661619254
292,183,2,1,0,0,183,0,0,0,0,0,0,0,0,train,5.4497415633572786
84,182,3,1,0,0,0,182,0,0,0,0,0,0,0,train,5.400363106853172
24,181,8,1,0,0,0,0,0,0,0,0,181,0,0,validation,5.3028562461319915
41,180,1,1,0,180,0,0,0,0,0,0,0,0,0,train,5.2549961354361265
92,179,8,1,0,0,0,0,0,0,0,0,179,0,0,train,5.185582714911192
34,178,7,1,0,0,0,0,0,0,0,178,0,0,0,validation,5.1022564083323765
324,178,5,1,0,0,0,0,0,178,0,0,0,0,0,train,5.042182120703008
20,176,1,1,0,176,0,0,0,0,0,0,0,0,0,train,4.996200029805875
164,175,1,1,0,175,0,0,0,0,0,0,0,0,0,train,4.950816439071736
54,174,0,1,174,0,0,0,0,0,0,0,0,0,0,train,4.9058677495694365
266,174,2,1,0,0,174,0,0,0,0,0,0,0,0,train,4.861341863324144
269,172,0,1,172,0,0,0,0,0,0,0,0,0,0,train,4.817453827699474
456,171,0,1,171,0,0,0,0,0,0,0,0,0,0,train,4.774136248866973
29,170,1,1,0,170,0,0,0,0,0,0,0,0,0,train,4.731250911093306
37,169,8,1,0,0,0,0,0,0,0,0,169,0,0,train,4.672054221617718
264,169,8,1,0,0,0,0,0,0,0,0,169,0,0,train,4.617305882916815
434,168,0,5,133,0,1,1,0,0,0,32,1,0,0,test,4.571677605481557
406,168,1,1,0,168,0,0,0,0,0,0,0,0,0,train,4.530033738757697
197,167,0,6,128,0,0,22,1,0,1,9,0,0,6,train,4.486418674457826
59,166,1,1,0,166,0,0,0,0,0,0,0,0,0,train,4.44578254224882
158,166,7,1,0,0,0,0,0,0,0,166,0,0,0,train,4.388782483854335
53,163,1,8,57,67,6,22,1,0,1,8,1,0,0,train,4.348219725414666
49,163,4,1,0,0,0,0,163,0,0,0,0,0,0,train,4.298585669965476
40,162,1,1,0,162,0,0,0,0,0,0,0,0,0,train,4.259855159323206
436,162,2,1,0,0,162,0,0,0,0,0,0,0,0,train,4.221153743210988
212,162,0,1,162,0,0,0,0,0,0,0,0,0,0,train,4.18271756307356
231,161,0,3,158,1,0,2,0,0,0,0,0,0,0,train,4.144783561469138
90,161,2,1,0,0,161,0,0,0,0,0,0,0,0,train,4.1070127193430634
206,161,0,1,161,0,0,0,0,0,0,0,0,0,0,train,4.0695645380215755
91,160,3,5,5,1,0,152,0,1,1,0,0,0,0,train,4.031296951883959
432,160,5,1,0,0,0,0,0,160,0,0,0,0,0,train,3.983477231929089
126,158,10,1,0,0,0,0,0,0,0,0,0,0,158,train,3.919384857146104
282,157,3,1,0,0,0,157,0,0,0,0,0,0,0,train,3.8826030536834595
62,156,1,1,0,156,0,0,0,0,0,0,0,0,0,train,3.8472648215870073
389,155,8,1,0,0,0,0,0,0,0,0,155,0,0,test,3.800884762806439
10,151,2,1,0,0,151,0,0,0,0,0,0,0,0,train,3.766810166356245
189,150,1,1,0,150,0,0,0,0,0,0,0,0,0,train,3.733252694893433
87,150,0,1,150,0,0,0,0,0,0,0,0,0,0,train,3.69984278294877
166,149,3,9,15,2,13,49,0,0,6,17,26,20,1,train,3.6594095889851963
78,149,1,1,0,149,0,0,0,0,0,0,0,0,0,train,3.6266550537465907
382,148,3,1,0,0,0,148,0,0,0,0,0,0,0,train,3.5933050279397167
66,147,3,1,0,0,0,147,0,0,0,0,0,0,0,train,3.560452748629615
143,145,0,2,141,0,0,0,0,0,0,0,4,0,0,train,3.5287929937049274
96,145,1,1,0,145,0,0,0,0,0,0,0,0,0,train,3.4976295370511203
195,145,2,1,0,0,145,0,0,0,0,0,0,0,0,train,3.4664505911772476
213,144,7,4,14,3,0,39,0,0,0,88,0,0,0,test,3.426348250350535
490,144,0,1,144,0,0,0,0,0,0,0,0,0,0,train,3.3956840405512088
121,144,5,1,0,0,0,0,0,144,0,0,0,0,0,train,3.3563378252684757
1,143,2,6,9,15,70,38,2,0,9,0,0,0,0,train,3.325168288891697
400,143,1,1,0,143,0,0,0,0,0,0,0,0,0,train,3.29528501941113
64,142,3,4,1,0,3,134,4,0,0,0,0,0,0,train,3.2647009066834083
235,142,4,1,0,0,0,0,142,0,0,0,0,0,0,train,3.227072726522069
230,141,3,1,0,0,0,141,0,0,0,0,0,0,0,train,3.197304644613709
375,139,3,1,0,0,0,139,0,0,0,0,0,0,0,train,3.1682032910671634
316,138,4,1,0,0,0,0,138,0,0,0,0,0,0,train,3.133136902796392
125,138,2,1,0,0,138,0,0,0,0,0,0,0,0,train,3.105050348060618
470,138,0,1,138,0,0,0,0,0,0,0,0,0,0,train,3.0771898015769956
354,136,2,1,0,0,136,0,0,0,0,0,0,0,0,train,3.0498674438182753
347,134,2,1,0,0,134,0,0,0,0,0,0,0,0,train,3.023157201057952
132,133,1,1,0,133,0,0,0,0,0,0,0,0,0,train,2.996808039303506
380,133,1,1,0,133,0,0,0,0,0,0,0,0,0,train,2.970653111427324
363,133,9,1,0,0,0,0,0,0,0,0,0,133,0,validation,2.906696627164081
153,132,2,1,0,0,132,0,0,0,0,0,0,0,0,train,2.880852058958136
329,132,2,1,0,0,132,0,0,0,0,0,0,0,0,train,2.855210063408675
178,131,0,1,131,0,0,0,0,0,0,0,0,0,0,train,2.8297368704166983
281,131,1,1,0,131,0,0,0,0,0,0,0,0,0,train,2.804552573610434
433,131,0,1,131,0,0,0,0,0,0,0,0,0,0,train,2.7793923770475457
167,131,0,1,131,0,0,0,0,0,0,0,0,0,0,train,2.7544166810832564
234,130,1,1,0,130,0,0,0,0,0,0,0,0,0,train,2.729865944713956
106,129,2,1,0,0,129,0,0,0,0,0,0,0,0,train,2.70563414527995
440,129,7,1,0,0,0,0,0,0,0,129,0,0,0,train,2.669974543790185
181,129,5,1,0,0,0,0,0,129,0,0,0,0,0,train,2.638754848791523
396,128,6,5,1,23,0,0,0,6,97,0,0,1,0,train,2.6077387879752165
151,128,4,1,0,0,0,0,128,0,0,0,0,0,0,train,2.5784335211404725
334,128,7,1,0,0,0,0,0,0,0,128,0,0,0,train,2.5450367445786126
265,127,0,2,124,0,0,3,0,0,0,0,0,0,0,train,2.5218392147286104
465,127,3,2,0,12,0,115,0,0,0,0,0,0,0,train,2.498164665885964
356,126,6,6,5,0,0,51,1,9,59,0,1,0,0,train,2.4708474727559198
33,126,3,4,0,0,4,120,1,0,1,0,0,0,0,train,2.4475607263457655
384,125,1,2,60,65,0,0,0,0,0,0,0,0,0,train,2.425293526804239
142,124,3,1,0,0,0,124,0,0,0,0,0,0,0,train,2.4027554647498115
69,123,0,1,123,0,0,0,0,0,0,0,0,0,0,train,2.3810743613717653
458,123,0,1,123,0,0,0,0,0,0,0,0,0,0,train,2.3595559122420853
405,122,1,1,0,122,0,0,0,0,0,0,0,0,0,train,2.338346108467436
161,122,3,1,0,0,0,122,0,0,0,0,0,0,0,train,2.316696257935578
68,121,2,1,0,0,121,0,0,0,0,0,0,0,0,test,2.2956312696840415
171,121,5,1,0,0,0,0,0,121,0,0,0,0,0,train,2.2689195985480204
467,121,0,1,121,0,0,0,0,0,0,0,0,0,0,train,2.2482404442281365
454,120,2,1,0,0,120,0,0,0,0,0,0,0,0,train,2.2277878642077846
268,120,5,1,0,0,0,0,0,120,0,0,0,0,0,train,2.2024606688475523
94,120,0,1,120,0,0,0,0,0,0,0,0,0,0,train,2.1823235231252505
221,118,1,1,0,118,0,0,0,0,0,0,0,0,0,train,2.162604292737113
51,117,2,1,0,0,117,0,0,0,0,0,0,0,0,train,2.143137845239043
312,117,2,1,0,0,117,0,0,0,0,0,0,0,0,train,2.123830547023262
204,116,6,4,0,7,1,42,0,0,66,0,0,0,0,train,2.1006490021418167
157,115,2,1,0,0,115,0,0,0,0,0,0,0,0,train,2.0819271963719403
393,115,5,1,0,0,0,0,0,115,0,0,0,0,0,validation,2.059090855044234
172,115,2,1,0,0,115,0,0,0,0,0,0,0,0,train,2.0405228040598256
173,115,7,1,0,0,0,0,0,0,0,115,0,0,0,train,2.0140833154748545
283,114,1,2,1,113,0,0,0,0,0,0,0,0,0,train,1.9957735386770983
39,114,0,1,114,0,0,0,0,0,0,0,0,0,0,train,1.9775783027379688
43,113,1,1,0,113,0,0,0,0,0,0,0,0,0,train,1.959666263549905
483,112,3,2,0,0,0,108,0,0,4,0,0,0,0,train,1.9412428958352306
295,111,1,2,0,109,0,0,0,0,0,0,0,0,2,test,1.9234820562452852
276,111,3,1,0,0,0,111,0,0,0,0,0,0,0,train,1.9055837719994841
441,111,1,1,0,111,0,0,0,0,0,0,0,0,0,train,1.8883106116870199
138,111,5,1,0,0,0,0,0,111,0,0,0,0,0,train,1.867059196982506
148,111,7,1,0,0,0,0,0,0,0,111,0,0,0,train,1.8434260181599726
52,111,3,1,0,0,0,111,0,0,0,0,0,0,0,train,1.82595929560859
185,110,1,1,0,110,0,0,0,0,0,0,0,0,0,train,1.8092494903958536
176,109,1,1,0,109,0,0,0,0,0,0,0,0,0,train,1.7928226501353204
182,108,2,2,0,0,61,0,0,0,0,0,47,0,0,train,1.7736444833995386
225,107,1,1,0,107,0,0,0,0,0,0,0,0,0,train,1.757732471052809
128,107,2,1,0,0,107,0,0,0,0,0,0,0,0,train,1.7418686423958962
76,106,0,1,106,0,0,0,0,0,0,0,0,0,0,train,1.7261240914777405
44,105,2,1,0,0,105,0,0,0,0,0,0,0,0,train,1.710769518868776
381,105,9,1,0,0,0,0,0,0,0,0,0,105,0,train,1.6786270377814356
277,105,4,1,0,0,0,0,105,0,0,0,0,0,0,train,1.659025089126811
149,105,9,1,0,0,0,0,0,0,0,0,0,105,0,test,1.6270427820593913
104,105,1,1,0,105,0,0,0,0,0,0,0,0,0,train,1.6119655195365103
190,104,4,5,12,31,0,2,58,0,0,0,1,0,0,train,1.5948375997944026
186,104,0,1,104,0,0,0,0,0,0,0,0,0,0,train,1.5799196391697077
313,104,9,1,0,0,0,0,0,0,0,0,0,104,0,train,1.550565382285249
304,104,0,1,104,0,0,0,0,0,0,0,0,0,0,train,1.5358446927622975
288,104,0,1,104,0,0,0,0,0,0,0,0,0,0,train,1.5212402877492501
60,104,3,1,0,0,0,104,0,0,0,0,0,0,0,train,1.5062524103778414
114,103,9,1,0,0,0,0,0,0,0,0,0,103,0,train,1.4795364556682815
359,103,1,1,0,103,0,0,0,0,0,0,0,0,0,train,1.4654358385805575
449,103,9,1,0,0,0,0,0,0,0,0,0,103,0,train,1.4409045271474028
372,103,3,1,0,0,0,103,0,0,0,0,0,0,0,train,1.4264330073029858
217,103,1,1,0,103,0,0,0,0,0,0,0,0,0,train,1.4126077555181595
101,102,1,8,1,47,5,21,1,3,0,0,5,19,0,train,1.39672026479218
430,102,3,3,45,1,0,56,0,0,0,0,0,0,0,train,1.3828469264216188
267,102,2,1,0,0,102,0,0,0,0,0,0,0,0,train,1.369322186969238
80,102,1,1,0,102,0,0,0,0,0,0,0,0,0,train,1.3559967678334306
280,102,1,1,0,102,0,0,0,0,0,0,0,0,0,train,1.3427855897100855
183,101,7,7,1,5,1,3,0,2,0,65,24,0,0,train,1.324737392248443
133,101,0,1,101,0,0,0,0,0,0,0,0,0,0,train,1.3116112539952067
116,101,9,1,0,0,0,0,0,0,0,0,0,101,0,train,1.2906612365888834
130,101,1,1,0,101,0,0,0,0,0,0,0,0,0,train,1.2779230552158942
333,100,0,1,100,0,0,0,0,0,0,0,0,0,0,train,1.265186178697927
19,100,7,1,0,0,0,0,0,0,0,100,0,0,0,train,1.2480170971750728
416,100,2,1,0,0,100,0,0,0,0,0,0,0,0,validation,1.2353616625947232
89,100,3,1,0,0,0,100,0,0,0,0,0,0,0,train,1.2223910187708102
391,100,2,1,0,0,100,0,0,0,0,0,0,0,0,train,1.2099291874854519
491,99,5,1,0,0,0,0,0,99,0,0,0,0,0,train,1.1944587110655953
105,98,1,1,0,98,0,0,0,0,0,0,0,0,0,train,1.1825721240947842
376,98,2,1,0,0,98,0,0,0,0,0,0,0,0,train,1.170616882446743
9,97,2,5,0,32,61,2,1,0,0,0,1,0,0,train,1.158824651797338
75,97,2,1,0,0,97,0,0,0,0,0,0,0,0,train,1.1471962943640277
222,97,0,1,97,0,0,0,0,0,0,0,0,0,0,train,1.1355172995838263
466,97,2,1,0,0,97,0,0,0,0,0,0,0,0,train,1.124068783296308
358,96,8,5,4,0,11,0,7,0,0,3,71,0,0,train,1.108672936960608
98,96,1,1,0,96,0,0,0,0,0,0,0,0,0,train,1.0975602645261258
196,96,0,1,96,0,0,0,0,0,0,0,0,0,0,train,1.0863102614455618
88,95,3,4,0,3,0,90,0,0,0,1,1,0,0,train,1.0748061833042946
411,95,3,1,0,0,0,95,0,0,0,0,0,0,0,train,1.0634742129368275
498,95,1,1,0,95,0,0,0,0,0,0,0,0,0,test,1.052671324875073
220,95,4,1,0,0,0,0,95,0,0,0,0,0,0,train,1.0385296837681648
317,94,3,4,1,0,1,91,0,0,0,1,0,0,0,train,1.0274648595824183
497,94,9,3,0,0,2,0,0,0,1,0,0,91,0,train,1.011187724030198
345,94,3,1,0,0,0,94,0,0,0,0,0,0,0,train,1.0003292450190815
0,94,0,1,94,0,0,0,0,0,0,0,0,0,0,train,0.989809009204027
249,93,0,3,91,0,0,1,0,0,1,0,0,0,0,train,0.9794309901846445
112,93,1,1,0,93,0,0,0,0,0,0,0,0,0,train,0.9693549652641712
179,93,1,1,0,93,0,0,0,0,0,0,0,0,0,train,0.9593739105971375
259,92,3,5,3,0,8,74,0,0,0,0,2,0,5,train,0.9482771575776806
81,92,1,1,0,92,0,0,0,0,0,0,0,0,0,train,0.9385602456467067
163,92,5,1,0,0,0,0,0,92,0,0,0,0,0,train,0.9261341265830297
203,92,3,1,0,0,0,92,0,0,0,0,0,0,0,train,0.9160962694268551
499,92,10,1,0,0,0,0,0,0,0,0,0,0,92,train,0.8931633119428325
339,92,4,1,0,0,0,0,92,0,0,0,0,0,0,train,0.8807761937050796
291,91,6,2,1,0,0,0,0,0,90,0,0,0,0,train,0.8662215809317331
341,91,2,1,0,0,91,0,0,0,0,0,0,0,0,train,0.8568638122307757
353,91,1,1,0,91,0,0,0,0,0,0,0,0,0,train,0.8477187056198973
32,91,5,1,0,0,0,0,0,91,0,0,0,0,0,train,0.836347140945435
129,90,1,1,0,90,0,0,0,0,0,0,0,0,0,train,0.827453290080147
307,90,3,1,0,0,0,90,0,0,0,0,0,0,0,train,0.8181664841870051
227,90,3,1,0,0,0,90,0,0,0,0,0,0,0,test,0.8089144798322117
26,89,2,1,0,0,89,0,0,0,0,0,0,0,0,validation,0.7997805974236296
202,89,1,1,0,89,0,0,0,0,0,0,0,0,0,train,0.7911330084143788
349,89,4,1,0,0,0,0,89,0,0,0,0,0,0,train,0.780077149548512
79,89,2,1,0,0,89,0,0,0,0,0,0,0,0,train,0.7713780281322057
487,89,1,1,0,89,0,0,0,0,0,0,0,0,0,train,0.7629360351795342
256,88,3,4,1,0,0,82,0,0,3,2,0,0,0,train,0.7539584921086566
58,88,4,3,0,0,0,0,85,0,0,0,2,0,1,train,0.7435217749512377
216,88,3,1,0,0,0,88,0,0,0,0,0,0,0,train,0.7349269099054482
425,88,2,1,0,0,88,0,0,0,0,0,0,0,0,train,0.7266486721115235
414,87,2,5,2,0,71,0,0,5,7,2,0,0,0,train,0.7179759365438643
