cluster_id,size,majority_label_id,n_classes_in_cluster,class_0_count,class_1_count,class_2_count,class_3_count,class_4_count,class_5_count,class_6_count,class_7_count,class_8_count,class_9_count,class_10_count,split,assignment_score
257,87,0,1,87,0,0,0,0,0,0,0,0,0,0,train,0.7097651927012147
310,87,0,1,87,0,0,0,0,0,0,0,0,0,0,train,0.7016358243629532
247,87,3,1,0,0,0,87,0,0,0,0,0,0,0,train,0.6934616160134608
46,87,0,1,87,0,0,0,0,0,0,0,0,0,0,train,0.6854702973210105
108,86,0,1,86,0,0,0,0,0,0,0,0,0,0,validation,0.6775681122919788
301,85,10,1,0,0,0,0,0,0,0,0,0,0,85,train,0.6600573925648605
95,84,0,2,67,0,0,0,0,0,0,17,0,0,0,train,0.6517672761864555
50,84,10,1,0,0,0,0,0,0,0,0,0,0,84,train,0.6368906297951928
388,83,4,1,0,0,0,0,83,0,0,0,0,0,0,train,0.6281749924680344
77,83,2,1,0,0,83,0,0,0,0,0,0,0,0,train,0.6209531593152022
155,83,2,1,0,0,83,0,0,0,0,0,0,0,0,train,0.6138114181636619
123,82,3,1,0,0,0,82,0,0,0,0,0,0,0,train,0.6065556837975282
147,82,2,1,0,0,82,0,0,0,0,0,0,0,0,train,0.5996289851525597
120,81,1,1,0,81,0,0,0,0,0,0,0,0,0,train,0.5929026695322919
232,81,5,1,0,0,0,0,0,81,0,0,0,0,0,train,0.5845159751206622
302,81,1,1,0,81,0,0,0,0,0,0,0,0,0,train,0.5779108290662498
16,81,2,1,0,0,81,0,0,0,0,0,0,0,0,test,0.5711773256968606
239,80,3,2,1,0,0,79,0,0,0,0,0,0,0,train,0.5643754238179743
200,80,1,1,0,80,0,0,0,0,0,0,0,0,0,train,0.5579704581890363
152,80,1,1,0,80,0,0,0,0,0,0,0,0,0,train,0.5516357676927166
228,79,0,1,79,0,0,0,0,0,0,0,0,0,0,train,0.5451469726104115
65,79,7,1,0,0,0,0,0,0,0,79,0,0,0,train,0.5357647991340876
479,79,2,1,0,0,79,0,0,0,0,0,0,0,0,train,0.5295446201916831
97,79,3,1,0,0,0,79,0,0,0,0,0,0,0,train,0.5231403191334676
468,79,10,1,0,0,0,0,0,0,0,0,0,0,79,train,0.5120206572186444
4,79,0,1,79,0,0,0,0,0,0,0,0,0,0,train,0.5057858821904249
115,78,1,1,0,78,0,0,0,0,0,0,0,0,0,train,0.4999540547076267
175,77,0,1,77,0,0,0,0,0,0,0,0,0,0,train,0.493986664451778
340,77,4,1,0,0,0,0,77,0,0,0,0,0,0,test,0.48677153025172903
55,76,0,2,75,0,0,0,0,0,0,1,0,0,0,train,0.4809096786839461
7,76,4,1,0,0,0,0,76,0,0,0,0,0,0,train,0.4741721269615771
377,75,2,1,0,0,75,0,0,0,0,0,0,0,0,train,0.4686395311060597
193,75,0,1,75,0,0,0,0,0,0,0,0,0,0,train,0.46303425423692046
474,75,3,1,0,0,0,75,0,0,0,0,0,0,0,train,0.45737214448346564
146,75,5,1,0,0,0,0,0,75,0,0,0,0,0,train,0.4507350897739196
485,75,3,1,0,0,0,75,0,0,0,0,0,0,0,validation,0.445110791868562
241,74,7,1,0,0,0,0,0,0,0,74,0,0,0,train,0.4373972422171013
473,74,10,1,0,0,0,0,0,0,0,0,0,0,74,train,0.4292968255784746
250,74,0,1,74,0,0,0,0,0,0,0,0,0,0,train,0.4239906748639116
74,74,2,1,0,0,74,0,0,0,0,0,0,0,0,train,0.41884361848598334
404,73,1,1,0,73,0,0,0,0,0,0,0,0,0,train,0.41389708973067163
412,72,2,1,0,0,72,0,0,0,0,0,0,0,0,train,0.4089896047830999
368,72,7,1,0,0,0,0,0,0,0,72,0,0,0,validation,0.4015790094431566
351,72,4,1,0,0,0,0,72,0,0,0,0,0,0,train,0.39592993197397647
30,72,0,1,72,0,0,0,0,0,0,0,0,0,0,train,0.3909805803883588
263,72,0,1,72,0,0,0,0,0,0,0,0,0,0,train,0.38608696279861215
371,71,1,1,0,71,0,0,0,0,0,0,0,0,0,train,0.3814851954287721
139,71,3,1,0,0,0,71,0,0,0,0,0,0,0,train,0.37661707585987864
386,71,8,1,0,0,0,0,0,0,0,0,71,0,0,train,0.36879684239329613
460,70,6,1,0,0,0,0,0,0,70,0,0,0,0,train,0.36062536728927774
245,69,0,3,44,0,0,1,0,0,0,24,0,0,0,train,0.3554664286329532
218,69,7,1,0,0,0,0,0,0,0,69,0,0,0,train,0.3493927054854453
284,69,8,1,0,0,0,0,0,0,0,0,69,0,0,train,0.34265249153954175
199,68,1,1,0,68,0,0,0,0,0,0,0,0,0,train,0.3385103974078716
332,68,2,1,0,0,68,0,0,0,0,0,0,0,0,train,0.334324981428954
314,67,7,1,0,0,0,0,0,0,0,67,0,0,0,train,0.3289781621588348
35,66,3,1,0,0,0,66,0,0,0,0,0,0,0,train,0.32478229903359257
14,66,0,1,66,0,0,0,0,0,0,0,0,0,0,train,0.32073000797842366
395,66,1,1,0,66,0,0,0,0,0,0,0,0,0,train,0.3168902435135469
422,66,3,1,0,0,0,66,0,0,0,0,0,0,0,train,0.3128143396171024
480,66,1,1,0,66,0,0,0,0,0,0,0,0,0,train,0.3090550224360034
8,65,3,1,0,0,0,65,0,0,0,0,0,0,0,train,0.3051264859238783
135,65,3,1,0,0,0,65,0,0,0,0,0,0,0,train,0.30125103027638067
401,65,5,1,0,0,0,0,0,65,0,0,0,0,0,train,0.2966778791798242
477,65,1,1,0,65,0,0,0,0,0,0,0,0,0,train,0.2931171769461911
293,64,8,2,0,2,0,0,0,0,0,0,62,0,0,train,0.28795349268445036
285,64,1,1,0,64,0,0,0,0,0,0,0,0,0,test,0.2844806175842479
448,64,1,1,0,64,0,0,0,0,0,0,0,0,0,train,0.28105113940553067
343,63,2,1,0,0,63,0,0,0,0,0,0,0,0,train,0.2775917520879146
229,63,1,1,0,63,0,0,0,0,0,0,0,0,0,train,0.2742895054988978
453,62,4,1,0,0,0,0,62,0,0,0,0,0,0,train,0.2704661059123736
352,62,0,1,62,0,0,0,0,0,0,0,0,0,0,train,0.26706138694388204
296,62,6,1,0,0,0,0,0,0,62,0,0,0,0,train,0.26086043727439123
338,61,0,1,61,0,0,0,0,0,0,0,0,0,0,train,0.2575792844435455
243,61,3,1,0,0,0,61,0,0,0,0,0,0,0,train,0.25427880771414524
492,60,2,1,0,0,60,0,0,0,0,0,0,0,0,train,0.2511937287646679
145,60,0,1,60,0,0,0,0,0,0,0,0,0,0,train,0.24805975247572182
13,60,2,1,0,0,60,0,0,0,0,0,0,0,0,train,0.24504348297728595
274,58,0,1,58,0,0,0,0,0,0,0,0,0,0,train,0.24207682009907716
496,58,8,1,0,0,0,0,0,0,0,0,58,0,0,train,0.2382097206347322
407,58,1,1,0,58,0,0,0,0,0,0,0,0,0,validation,0.23543613754596582
169,58,2,1,0,0,58,0,0,0,0,0,0,0,0,train,0.2326105717927974
254,58,0,1,58,0,0,0,0,0,0,0,0,0,0,train,0.22973045282002602
136,57,10,2,2,0,0,0,0,0,0,0,0,0,55,test,0.22356571696194746
431,57,0,1,57,0,0,0,0,0,0,0,0,0,0,train,0.22077049212863684
3,57,2,1,0,0,57,0,0,0,0,0,0,0,0,train,0.21808082912165672
165,57,5,1,0,0,0,0,0,57,0,0,0,0,0,train,0.214790378555813
438,57,2,1,0,0,57,0,0,0,0,0,0,0,0,train,0.21216281607839788
122,57,9,1,0,0,0,0,0,0,0,0,0,57,0,train,0.20650133019026837
426,57,3,1,0,0,0,57,0,0,0,0,0,0,0,train,0.2037570067455568
21,57,3,1,0,0,0,57,0,0,0,0,0,0,0,train,0.20105350217165574
140,57,6,1,0,0,0,0,0,0,57,0,0,0,0,train,0.19607980809357445
297,56,2,1,0,0,56,0,0,0,0,0,0,0,0,train,0.1936307306065061
457,56,2,1,0,0,56,0,0,0,0,0,0,0,0,train,0.19121811247726214
315,56,0,1,56,0,0,0,0,0,0,0,0,0,0,train,0.18872021037631959
109,55,7,2,0,0,0,0,0,0,1,54,0,0,0,train,0.18553399180741573
191,55,3,1,0,0,0,55,0,0,0,0,0,0,0,train,0.18307935273060144
488,55,9,1,0,0,0,0,0,0,0,0,0,55,0,train,0.17841260599458708
286,55,3,1,0,0,0,55,0,0,0,0,0,0,0,train,0.1760186217491327
450,55,2,1,0,0,55,0,0,0,0,0,0,0,0,train,0.17379823743220468
180,55,3,1,0,0,0,55,0,0,0,0,0,0,0,train,0.1714649080181102
27,55,1,1,0,55,0,0,0,0,0,0,0,0,0,train,0.16930701539545612
464,54,6,1,0,0,0,0,0,0,54,0,0,0,0,train,0.16511423578894396
486,54,1,1,0,54,0,0,0,0,0,0,0,0,0,train,0.1630497271912067
429,54,0,1,54,0,0,0,0,0,0,0,0,0,0,validation,0.16077805173083592
364,53,0,1,53,0,0,0,0,0,0,0,0,0,0,train,0.15864066574592037
156,53,2,1,0,0,53,0,0,0,0,0,0,0,0,train,0.15664184183327917
305,53,2,1,0,0,53,0,0,0,0,0,0,0,0,train,0.15467567555333203
63,53,2,1,0,0,53,0,0,0,0,0,0,0,0,train,0.15274216690607895
373,53,9,1,0,0,0,0,0,0,0,0,0,53,0,train,0.14902734063391587
255,53,2,1,0,0,53,0,0,0,0,0,0,0,0,train,0.14714752247221163
279,53,9,1,0,0,0,0,0,0,0,0,0,53,0,train,0.14401113554055398
323,53,1,1,0,53,0,0,0,0,0,0,0,0,0,train,0.14216322373139556
495,52,0,1,52,0,0,0,0,0,0,0,0,0,0,train,0.14023996848750048
321,52,5,1,0,0,0,0,0,52,0,0,0,0,0,test,0.13714959818314107
45,52,3,1,0,0,0,52,0,0,0,0,0,0,0,train,0.13522729314506576
290,51,3,1,0,0,0,51,0,0,0,0,0,0,0,train,0.13337495359226556
494,51,3,1,0,0,0,51,0,0,0,0,0,0,0,train,0.13155529175044667
319,50,1,1,0,50,0,0,0,0,0,0,0,0,0,train,0.1299173764396841
93,50,3,1,0,0,0,50,0,0,0,0,0,0,0,train,0.12818383628958036
427,50,9,1,0,0,0,0,0,0,0,0,0,50,0,train,0.12587035677571445
348,50,2,1,0,0,50,0,0,0,0,0,0,0,0,train,0.12429984562463436
102,50,3,1,0,0,0,50,0,0,0,0,0,0,0,train,0.12263515259849633
342,49,1,4,0,31,16,1,0,0,1,0,0,0,0,train,0.121092888415434
489,49,7,2,1,0,0,0,0,0,0,48,0,0,0,test,0.118879740667694
207,49,2,1,0,0,49,0,0,0,0,0,0,0,0,train,0.117408405949921
379,49,3,1,0,0,0,49,0,0,0,0,0,0,0,train,0.11584368408513648
383,49,1,1,0,49,0,0,0,0,0,0,0,0,0,train,0.11439777863647647
141,48,3,2,19,0,0,29,0,0,0,0,0,0,0,train,0.11289057693930254
258,47,2,3,6,0,27,0,0,0,14,0,0,0,0,train,0.1110192943319154
48,47,3,1,0,0,0,47,0,0,0,0,0,0,0,train,0.10960437687118113
299,46,7,1,0,0,0,0,0,0,0,46,0,0,0,train,0.10775760274673357
362,46,5,1,0,0,0,0,0,46,0,0,0,0,0,train,0.10601852435590656
170,46,3,1,0,0,0,46,0,0,0,0,0,0,0,train,0.10469227268864084
240,46,3,1,0,0,0,46,0,0,0,0,0,0,0,validation,0.10338432721841362
174,46,4,1,0,0,0,0,46,0,0,0,0,0,0,train,0.10178192532803751
205,45,1,1,0,45,0,0,0,0,0,0,0,0,0,train,0.10058712076777451
238,45,2,1,0,0,45,0,0,0,0,0,0,0,0,train,0.09942353949219077
38,44,6,1,0,0,0,0,0,0,44,0,0,0,0,train,0.09678475328869862
252,44,8,1,0,0,0,0,0,0,0,0,44,0,0,train,0.09511285989785268
242,44,0,1,44,0,0,0,0,0,0,0,0,0,0,train,0.09387550720627114
350,44,0,1,44,0,0,0,0,0,0,0,0,0,0,train,0.09265896875388833
390,44,7,1,0,0,0,0,0,0,0,44,0,0,0,train,0.0912202917165354
82,44,0,1,44,0,0,0,0,0,0,0,0,0,0,train,0.09003906362407998
387,43,0,2,41,2,0,0,0,0,0,0,0,0,0,train,0.08890976272512072
36,43,0,1,43,0,0,0,0,0,0,0,0,0,0,train,0.08779508899246868
420,43,5,1,0,0,0,0,0,43,0,0,0,0,0,train,0.08646605678527529
111,42,0,1,42,0,0,0,0,0,0,0,0,0,0,train,0.08541001923631128
417,42,0,1,42,0,0,0,0,0,0,0,0,0,0,train,0.08437294672760895
365,42,0,1,42,0,0,0,0,0,0,0,0,0,0,train,0.08335483925916828
410,42,3,1,0,0,0,42,0,0,0,0,0,0,0,train,0.08237311688803552
124,42,0,1,42,0,0,0,0,0,0,0,0,0,0,train,0.0813871827020907
484,42,0,1,42,0,0,0,0,0,0,0,0,0,0,validation,0.08040738382752999
28,42,1,1,0,42,0,0,0,0,0,0,0,0,0,train,0.079516371964838
110,41,2,2,0,1,40,0,0,0,0,0,0,0,0,train,0.07867434461106587
374,41,9,1,0,0,0,0,0,0,0,0,0,41,0,train,0.07757665163135534
346,41,3,1,0,0,0,41,0,0,0,0,0,0,0,test,0.07663716556211572
443,40,2,1,0,0,40,0,0,0,0,0,0,0,0,train,0.0758469981808466
246,40,5,1,0,0,0,0,0,40,0,0,0,0,0,train,0.074831439780543
493,40,1,1,0,40,0,0,0,0,0,0,0,0,0,train,0.07404952484336863
472,40,0,1,40,0,0,0,0,0,0,0,0,0,0,train,0.07320125141811204
394,39,3,1,0,0,0,39,0,0,0,0,0,0,0,train,0.07240469433184538
278,39,2,1,0,0,39,0,0,0,0,0,0,0,0,train,0.07169862211186756
17,39,3,1,0,0,0,39,0,0,0,0,0,0,0,train,0.0709325628763442
327,39,0,1,39,0,0,0,0,0,0,0,0,0,0,train,0.07015622466191043
271,39,0,1,39,0,0,0,0,0,0,0,0,0,0,train,0.06939623895668186
322,39,2,1,0,0,39,0,0,0,0,0,0,0,0,train,0.06874201620872396
326,38,1,3,16,21,0,1,0,0,0,0,0,0,0,train,0.06806351938550557
6,38,0,2,24,0,0,14,0,0,0,0,0,0,0,train,0.06736755473002516
459,38,0,1,38,0,0,0,0,0,0,0,0,0,0,train,0.06668046638506861
446,38,6,1,0,0,0,0,0,0,38,0,0,0,0,train,0.06489151833576204
103,38,8,1,0,0,0,0,0,0,0,0,38,0,0,train,0.06402743712982642
481,38,0,1,38,0,0,0,0,0,0,0,0,0,0,train,0.06337749783345839
261,38,2,1,0,0,38,0,0,0,0,0,0,0,0,validation,0.06277165224765943
311,38,0,1,38,0,0,0,0,0,0,0,0,0,0,train,0.06213723762143755
99,37,0,2,36,0,0,0,0,0,0,0,1,0,0,train,0.0615316705267059
298,37,0,1,37,0,0,0,0,0,0,0,0,0,0,train,0.06094346583625974
360,37,0,1,37,0,0,0,0,0,0,0,0,0,0,train,0.06036997947921392
262,37,1,1,0,37,0,0,0,0,0,0,0,0,0,train,0.059845419196565205
251,37,5,1,0,0,0,0,0,37,0,0,0,0,0,train,0.059201024609139855
162,36,3,1,0,0,0,36,0,0,0,0,0,0,0,train,0.05866670250469166
403,36,1,1,0,36,0,0,0,0,0,0,0,0,0,train,0.05819042547551434
399,36,0,1,36,0,0,0,0,0,0,0,0,0,0,train,0.057685920940265346
398,35,1,1,0,35,0,0,0,0,0,0,0,0,0,train,0.05724595154547231
210,34,1,1,0,34,0,0,0,0,0,0,0,0,0,train,0.05683143281896639
272,34,3,1,0,0,0,34,0,0,0,0,0,0,0,train,0.05637764173180093
428,34,0,1,34,0,0,0,0,0,0,0,0,0,0,train,0.05594018090781603
385,34,0,1,34,0,0,0,0,0,0,0,0,0,0,train,0.055515148420873364
150,33,5,1,0,0,0,0,0,33,0,0,0,0,0,train,0.055085013135130985
370,33,2,1,0,0,33,0,0,0,0,0,0,0,0,test,0.05465222770263686
452,32,3,2,0,0,1,31,0,0,0,0,0,0,0,train,0.054263981417054304
177,32,0,1,32,0,0,0,0,0,0,0,0,0,0,train,0.05389087840707391
260,32,0,1,32,0,0,0,0,0,0,0,0,0,0,train,0.0535287845814631
273,32,1,1,0,32,0,0,0,0,0,0,0,0,0,train,0.05320559353093987
469,32,3,1,0,0,0,32,0,0,0,0,0,0,0,train,0.05285166797218079
409,32,3,1,0,0,0,32,0,0,0,0,0,0,0,train,0.05251060745611483
418,31,2,1,0,0,31,0,0,0,0,0,0,0,0,train,0.05222499916553503
330,31,1,1,0,31,0,0,0,0,0,0,0,0,0,train,0.051944681458694957
463,31,4,1,0,0,0,0,31,0,0,0,0,0,0,train,0.05145686386308782
67,31,3,1,0,0,0,31,0,0,0,0,0,0,0,train,0.05116031670383896
478,30,10,1,0,0,0,0,0,0,0,0,0,0,30,train,0.05009996502392899
325,29,10,1,0,0,0,0,0,0,0,0,0,0,29,validation,0.04925090973944212
331,29,1,1,0,29,0,0,0,0,0,0,0,0,0,train,0.049018207163782745
57,29,3,1,0,0,0,29,0,0,0,0,0,0,0,train,0.048764533736159875
337,29,6,1,0,0,0,0,0,0,29,0,0,0,0,train,0.0477139194086243
289,28,6,1,0,0,0,0,0,0,28,0,0,0,0,train,0.04677693962191238
451,28,3,1,0,0,0,28,0,0,0,0,0,0,0,train,0.046553989555832564
462,28,2,1,0,0,28,0,0,0,0,0,0,0,0,train,0.04636139204554895
392,28,3,1,0,0,0,28,0,0,0,0,0,0,0,train,0.04615416210766291
70,27,3,4,1,0,1,23,0,0,0,2,0,0,0,train,0.04594996546854952
119,27,7,2,5,0,0,0,0,0,0,22,0,0,0,train,0.04563742604123269
378,27,1,1,0,27,0,0,0,0,0,0,0,0,0,train,0.04547435857105333
226,27,0,1,27,0,0,0,0,0,0,0,0,0,0,train,0.045285082383143146
25,27,1,1,0,27,0,0,0,0,0,0,0,0,0,train,0.04513547819805881
320,26,7,3,0,1,0,0,0,5,0,20,0,0,0,train,0.044901153771488754
461,26,2,1,0,0,26,0,0,0,0,0,0,0,0,train,0.044767376715493946
211,25,0,1,25,0,0,0,0,0,0,0,0,0,0,train,0.044613897377434195
455,25,9,1,0,0,0,0,0,0,0,0,0,25,0,validation,0.0444046759261409
344,25,3,1,0,0,0,25,0,0,0,0,0,0,0,test,0.04423194082840352
303,25,3,1,0,0,0,25,0,0,0,0,0,0,0,train,0.04409784067225881
318,24,4,1,0,0,0,0,24,0,0,0,0,0,0,train,0.04385090979523146
309,24,1,1,0,24,0,0,0,0,0,0,0,0,0,train,0.04374737488567955
442,24,0,1,24,0,0,0,0,0,0,0,0,0,0,train,0.0436194747914756
423,23,0,1,23,0,0,0,0,0,0,0,0,0,0,train,0.04350271486801168
445,22,3,1,0,0,0,22,0,0,0,0,0,0,0,train,0.043406851290783345
237,22,1,1,0,22,0,0,0,0,0,0,0,0,0,train,0.043328866694513815
413,22,3,1,0,0,0,22,0,0,0,0,0,0,0,train,0.043242707890303066
306,21,3,2,0,0,0,20,0,0,0,1,0,0,0,train,0.043162841044971416
408,21,6,1,0,0,0,0,0,0,21,0,0,0,0,train,0.042589105214306006
424,21,0,1,21,0,0,0,0,0,0,0,0,0,0,train,0.04250444738774894
275,20,10,1,0,0,0,0,0,0,0,0,0,0,20,train,0.042063700438220365
31,20,0,1,20,0,0,0,0,0,0,0,0,0,0,train,0.041990476977214176
437,20,3,1,0,0,0,20,0,0,0,0,0,0,0,train,0.0419348824015421
471,20,2,1,0,0,20,0,0,0,0,0,0,0,0,train,0.04188734257303823
476,19,2,1,0,0,19,0,0,0,0,0,0,0,0,train,0.04184648719516679
117,19,10,1,0,0,0,0,0,0,0,0,0,0,19,train,0.04156299846414493
435,19,3,1,0,0,0,19,0,0,0,0,0,0,0,train,0.041523089808333455
187,19,4,1,0,0,0,0,19,0,0,0,0,0,0,train,0.041401183774379575
85,19,3,1,0,0,0,19,0,0,0,0,0,0,0,train,0.04136851359596346
366,18,6,2,0,0,0,0,0,0,17,0,0,0,1,train,0.04094932083648375
22,18,1,1,0,18,0,0,0,0,0,0,0,0,0,train,0.04092693651291836
224,18,0,1,18,0,0,0,0,0,0,0,0,0,0,train,0.04088775932849254
369,18,4,1,0,0,0,0,18,0,0,0,0,0,0,train,0.040803007214849016
294,18,5,1,0,0,0,0,0,18,0,0,0,0,0,train,0.040772552093241377
444,17,6,1,0,0,0,0,0,0,17,0,0,0,0,train,0.04040170472624409
113,17,0,1,17,0,0,0,0,0,0,0,0,0,0,train,0.04037464890792064
184,16,1,2,0,15,0,1,0,0,0,0,0,0,0,train,0.04036804363240787
482,16,7,1,0,0,0,0,0,0,0,16,0,0,0,train,0.04031510923905295
402,16,2,1,0,0,16,0,0,0,0,0,0,0,0,train,0.04031175422507569
168,16,3,1,0,0,0,16,0,0,0,0,0,0,0,train,0.04030844755054783
56,16,0,1,16,0,0,0,0,0,0,0,0,0,0,train,0.04029348892593617
421,12,3,1,0,0,0,12,0,0,0,0,0,0,0,test,0.040285796648987675
336,10,2,1,0,0,10,0,0,0,0,0,0,0,0,validation,0.04027971734388153
86,1,1,1,0,1,0,0,0,0,0,0,0,0,0,validation,0.04027955115397944
