cluster_id,size,majority_label_id,n_classes_in_cluster,class_0_count,class_1_count,class_2_count,class_3_count,class_4_count,class_5_count,class_6_count,class_7_count,class_8_count,class_9_count,class_10_count,provisional_split,provisional_assignment_score,split,nearest_train_similarity_mean,nearest_train_similarity_median,nearest_train_similarity_min,nearest_train_similarity_q25,nearest_train_similarity_q75,nearest_train_similarity_max,controlled_assignment_score,similarity_penalty
16,81,2,1,0,0,81,0,0,0,0,0,0,0,0,test,0.5711773256968606,test,0.561170760864093,0.5384615659713745,0.4000000059604645,0.4935064911842346,0.6206896305084229,0.828125,1.5773826249231724,0.03846156597137451
47,303,0,10,93,36,15,14,2,2,22,10,84,0,25,test,9.527088082795416,test,0.46800714504994184,0.4337349534034729,0.2526315748691559,0.3105778098106384,0.6197183132171631,0.8392857313156128,5.647938207406939,0.0662650465965271
61,320,0,1,320,0,0,0,0,0,0,0,0,0,0,test,10.065291296797971,test,0.35876647802069783,0.3483146131038666,0.24719101190567017,0.3202815279364586,0.3871975690126419,0.7088607549667358,8.230648927475379,1.1550561606884004
71,362,0,2,361,0,0,0,0,0,0,1,0,0,0,validation,11.615722345587681,test,0.5026681240421632,0.4553429037332535,0.2666666805744171,0.3835616409778595,0.6173437535762787,0.8414633870124817,8.058304287554343,0.04465709626674652
73,235,0,1,235,0,0,0,0,0,0,0,0,0,0,test,7.790790768514205,test,0.3425105632619655,0.3404255211353302,0.2823529541492462,0.3199999928474426,0.35926246643066406,0.5285714268684387,5.168960103089794,1.1787234365940096
107,344,3,10,35,7,25,171,11,13,19,51,1,11,0,test,10.624330311699463,test,0.3139465048930846,0.26425938308238983,0.05882352963089943,0.2142857164144516,0.3720930218696594,0.9117646813392639,8.952547146367953,1.4072218507528307
108,86,0,1,86,0,0,0,0,0,0,0,0,0,0,validation,0.6775681122919788,test,0.4661890978730002,0.45102739334106445,0.3472222089767456,0.4234587848186493,0.4845833256840706,0.9230769276618958,1.605490055779351,0.04897260665893555
118,234,2,7,4,4,142,68,1,0,4,0,0,11,0,validation,7.669921411661334,test,0.4596053423662471,0.42108242213726044,0.24285714328289032,0.3465719148516655,0.5468229204416275,0.8125,3.4034895031709413,0.07891757786273956
127,198,3,1,0,0,0,198,0,0,0,0,0,0,0,validation,5.94576138898914,test,0.4714308448813178,0.45652174949645996,0.3478260934352875,0.42011362314224243,0.5,0.8133333325386047,2.523437013924632,0.04347825050354004
136,57,10,2,2,0,0,0,0,0,0,0,0,0,55,test,0.22356571696194746,test,0.3111757301447684,0.30434781312942505,0.24358974397182465,0.28787878155708313,0.3194444477558136,0.557692289352417,3.5038358573626778,1.286956560611725
149,105,9,1,0,0,0,0,0,0,0,0,0,105,0,test,1.6270427820593913,test,0.4164343916234516,0.43157893419265747,0.2631579041481018,0.3799999952316284,0.46315789222717285,0.5428571701049805,1.7038164755764047,0.06842106580734253
194,830,0,11,289,96,25,175,37,17,36,42,13,59,41,test,15.2192876054019,test,0.373035422021366,0.3181818127632141,0.17142857611179352,0.27034975588321686,0.44635988771915436,0.8771929740905762,14.368683663578881,1.2454545617103578
201,1073,3,11,110,113,154,271,14,59,267,14,17,25,29,validation,16.452608504866536,test,0.4622946456421899,0.4166666567325592,0.1696428507566452,0.32894736528396606,0.577464759349823,0.9152542352676392,14.03545764744462,0.0833333432674408
208,768,3,11,129,86,122,201,14,88,34,29,22,19,24,test,14.21633959840442,test,0.47473047821161646,0.44511379301548004,0.2368421107530594,0.35199660062789917,0.5925925970077515,0.8196721076965332,11.494416201243265,0.05488620698451996
213,144,7,4,14,3,0,39,0,0,0,88,0,0,0,test,3.426348250350535,test,0.4210195851822694,0.3821428567171097,0.2753623127937317,0.32943758368492126,0.45913462340831757,0.7924528121948242,3.1461367339454114,1.0535714298486711
219,320,10,11,47,27,13,51,6,2,75,6,5,6,82,validation,10.319832579032202,test,0.43616117113269864,0.40625,0.21359223127365112,0.324492409825325,0.506211906671524,0.8269230723381042,6.835818391770197,0.09375
240,46,3,1,0,0,0,46,0,0,0,0,0,0,0,validation,0.10338432721841362,test,0.5348579060772191,0.5279320776462555,0.41111111640930176,0.488095223903656,0.575955718755722,0.8550724387168884,1.6676218218625523,0.027932077646255493
248,401,3,11,20,22,89,151,1,12,81,4,3,8,10,test,12.395574546475281,test,0.46973267781020994,0.4285714328289032,0.21311475336551666,0.3552631437778473,0.557692289352417,0.8591549396514893,9.043413249135952,0.0714285671710968
285,64,1,1,0,64,0,0,0,0,0,0,0,0,0,test,0.2844806175842479,test,0.49158748239278793,0.4749843627214432,0.3802816867828369,0.42916666716337204,0.5157852470874786,0.7681159377098083,1.4901189701270279,0.025015637278556824
295,111,1,2,0,109,0,0,0,0,0,0,0,0,2,test,1.9234820562452852,test,0.40986059673197633,0.3731343150138855,0.29729729890823364,0.34375,0.460956409573555,0.7450980544090271,3.064256761031934,1.0805970549583437
300,228,0,2,227,0,0,0,1,0,0,0,0,0,0,test,7.363438402135823,test,0.4608213096334223,0.4660053998231888,0.25,0.4266343489289284,0.4937099516391754,0.6567164063453674,2.8930131595915176,0.03399460017681122
308,345,1,10,28,140,26,55,20,32,9,0,3,13,19,test,10.949683284722113,test,0.44539429230102595,0.43103447556495667,0.16326530277729034,0.31506848335266113,0.5579710006713867,0.9041095972061157,7.270386090825163,0.06896552443504333
321,52,5,1,0,0,0,0,0,52,0,0,0,0,0,test,0.13714959818314107,test,0.3525074536983783,0.33852414786815643,0.28828829526901245,0.3235294222831726,0.3844696953892708,0.5,3.3704020252721305,1.1844275563955309
325,29,10,1,0,0,0,0,0,0,0,0,0,0,29,validation,0.04925090973944212,test,0.3091678773534709,0.3076923191547394,0.2650602459907532,0.2933333218097687,0.3287671208381653,0.3684210479259491,3.648291027428268,1.276923042535782
335,191,5,7,10,0,2,1,10,160,1,7,0,0,0,test,5.659603879968628,test,0.3622900099342406,0.3541666567325592,0.2978723347187042,0.3333333432674408,0.3795776516199112,0.540145993232727,3.8122723159403225,1.1375000298023226
340,77,4,1,0,0,0,0,77,0,0,0,0,0,0,test,0.48677153025172903,test,0.5966933632825876,0.5974025726318359,0.35483869910240173,0.5416666865348816,0.6666666865348816,0.8382353186607361,1.5990500117028292,0.09740257263183594
344,25,3,1,0,0,0,25,0,0,0,0,0,0,0,test,0.04423194082840352,test,0.35621281862258913,0.3552631437778473,0.30136987566947937,0.32499998807907104,0.36486485600471497,0.4507042169570923,3.3823700901927243,1.1342105686664583
346,41,3,1,0,0,0,41,0,0,0,0,0,0,0,test,0.07663716556211572,test,0.3622702650907563,0.3571428656578064,0.27272728085517883,0.30666667222976685,0.4107142984867096,0.484375,3.337087045461665,1.128571403026581
363,133,9,1,0,0,0,0,0,0,0,0,0,133,0,validation,2.906696627164081,test,0.3525469580987342,0.32926830649375916,0.2295081913471222,0.28947368264198303,0.4197530746459961,0.6984127163887024,3.3815477315607083,1.2121950805187227
368,72,7,1,0,0,0,0,0,0,0,72,0,0,0,validation,0.4015790094431566,test,0.4642316351334254,0.4452991485595703,0.32098764181137085,0.4189937338232994,0.4945652186870575,0.6753246784210205,1.5450171751803476,0.05470085144042969
397,222,0,2,221,1,0,0,0,0,0,0,0,0,0,validation,6.913456060239008,test,0.48306656944322157,0.48606809973716736,0.29347825050354004,0.4032258093357086,0.5409836173057556,0.7972972989082336,2.6385670647245307,0.013931900262832642
416,100,2,1,0,0,100,0,0,0,0,0,0,0,0,validation,1.2353616625947232,test,0.5566155177354812,0.560821920633316,0.32926830649375916,0.5193572342395782,0.5839285552501678,0.8214285969734192,1.670308007966506,0.06082192063331604
419,243,2,2,0,0,242,0,0,0,1,0,0,0,0,validation,8.598738860680584,test,0.5452697159331522,0.5373134613037109,0.29729729890823364,0.45066508650779724,0.6421832740306854,0.8799999952316284,4.473745337840546,0.03731346130371094
429,54,0,1,54,0,0,0,0,0,0,0,0,0,0,validation,0.16077805173083592,test,0.3771734905463678,0.3734939694404602,0.3444444537162781,0.3595505654811859,0.38823530077934265,0.4571428596973419,3.204022436923792,1.0795180916786196
434,168,0,5,133,0,1,1,0,0,0,32,1,0,0,test,4.571677605481557,test,0.42247794941067696,0.39715954661369324,0.28735631704330444,0.355939082801342,0.45993392914533615,0.7894737124443054,3.097829873112775,1.0085213601589205
484,42,0,1,42,0,0,0,0,0,0,0,0,0,0,validation,0.08040738382752999,test,0.5561741214422953,0.550561785697937,0.4137931168079376,0.5162337571382523,0.569767415523529,0.8604651093482971,1.7126982111376967,0.05056178569793701
485,75,3,1,0,0,0,75,0,0,0,0,0,0,0,validation,0.445110791868562,test,0.46430548548698425,0.45348837971687317,0.3333333432674408,0.4148351699113846,0.47976189851760864,0.7200000286102295,1.5255330111930259,0.04651162028312683
489,49,7,2,1,0,0,0,0,0,0,48,0,0,0,test,0.118879740667694,test,0.3666294831402448,0.35384616255760193,0.30434781312942505,0.3442623019218445,0.38461539149284363,0.4545454680919647,3.3267036907799556,1.1384615123271944
498,95,1,1,0,95,0,0,0,0,0,0,0,0,0,test,1.052671324875073,test,0.513418247825221,0.5061728358268738,0.3255814015865326,0.42217741906642914,0.5516780912876129,0.8382353186607361,1.5635263329298876,0.006172835826873779
0,94,0,1,94,0,0,0,0,0,0,0,0,0,0,train,0.989809009204027,train,,,,,,,,
1,143,2,6,9,15,70,38,2,0,9,0,0,0,0,train,3.325168288891697,train,,,,,,,,
3,57,2,1,0,0,57,0,0,0,0,0,0,0,0,train,0.21808082912165672,train,,,,,,,,
4,79,0,1,79,0,0,0,0,0,0,0,0,0,0,train,0.5057858821904249,train,,,,,,,,
5,203,1,1,0,203,0,0,0,0,0,0,0,0,0,train,6.126689682242578,train,,,,,,,,
6,38,0,2,24,0,0,14,0,0,0,0,0,0,0,train,0.06736755473002516,train,,,,,,,,
7,76,4,1,0,0,0,0,76,0,0,0,0,0,0,train,0.4741721269615771,train,,,,,,,,
8,65,3,1,0,0,0,65,0,0,0,0,0,0,0,train,0.3051264859238783,train,,,,,,,,
9,97,2,5,0,32,61,2,1,0,0,0,1,0,0,train,1.158824651797338,train,,,,,,,,
10,151,2,1,0,0,151,0,0,0,0,0,0,0,0,train,3.766810166356245,train,,,,,,,,
13,60,2,1,0,0,60,0,0,0,0,0,0,0,0,train,0.24504348297728595,train,,,,,,,,
14,66,0,1,66,0,0,0,0,0,0,0,0,0,0,train,0.32073000797842366,train,,,,,,,,
17,39,3,1,0,0,0,39,0,0,0,0,0,0,0,train,0.0709325628763442,train,,,,,,,,
19,100,7,1,0,0,0,0,0,0,0,100,0,0,0,train,1.2480170971750728,train,,,,,,,,
20,176,1,1,0,176,0,0,0,0,0,0,0,0,0,train,4.996200029805875,train,,,,,,,,
21,57,3,1,0,0,0,57,0,0,0,0,0,0,0,train,0.20105350217165574,train,,,,,,,,
22,18,1,1,0,18,0,0,0,0,0,0,0,0,0,train,0.04092693651291836,train,,,,,,,,
23,199,6,9,8,26,3,47,0,2,81,0,2,1,29,train,6.058150282021952,train,,,,,,,,
25,27,1,1,0,27,0,0,0,0,0,0,0,0,0,train,0.04513547819805881,train,,,,,,,,
27,55,1,1,0,55,0,0,0,0,0,0,0,0,0,train,0.16930701539545612,train,,,,,,,,
28,42,1,1,0,42,0,0,0,0,0,0,0,0,0,train,0.079516371964838,train,,,,,,,,
29,170,1,1,0,170,0,0,0,0,0,0,0,0,0,train,4.731250911093306,train,,,,,,,,
30,72,0,1,72,0,0,0,0,0,0,0,0,0,0,train,0.3909805803883588,train,,,,,,,,
31,20,0,1,20,0,0,0,0,0,0,0,0,0,0,train,0.041990476977214176,train,,,,,,,,
32,91,5,1,0,0,0,0,0,91,0,0,0,0,0,train,0.836347140945435,train,,,,,,,,
33,126,3,4,0,0,4,120,1,0,1,0,0,0,0,train,2.4475607263457655,train,,,,,,,,
35,66,3,1,0,0,0,66,0,0,0,0,0,0,0,train,0.32478229903359257,train,,,,,,,,
36,43,0,1,43,0,0,0,0,0,0,0,0,0,0,train,0.08779508899246868,train,,,,,,,,
37,169,8,1,0,0,0,0,0,0,0,0,169,0,0,train,4.672054221617718,train,,,,,,,,
38,44,6,1,0,0,0,0,0,0,44,0,0,0,0,train,0.09678475328869862,train,,,,,,,,
39,114,0,1,114,0,0,0,0,0,0,0,0,0,0,train,1.9775783027379688,train,,,,,,,,
40,162,1,1,0,162,0,0,0,0,0,0,0,0,0,train,4.259855159323206,train,,,,,,,,
41,180,1,1,0,180,0,0,0,0,0,0,0,0,0,train,5.2549961354361265,train,,,,,,,,
43,113,1,1,0,113,0,0,0,0,0,0,0,0,0,train,1.959666263549905,train,,,,,,,,
44,105,2,1,0,0,105,0,0,0,0,0,0,0,0,train,1.710769518868776,train,,,,,,,,
45,52,3,1,0,0,0,52,0,0,0,0,0,0,0,train,0.13522729314506576,train,,,,,,,,
46,87,0,1,87,0,0,0,0,0,0,0,0,0,0,train,0.6854702973210105,train,,,,,,,,
48,47,3,1,0,0,0,47,0,0,0,0,0,0,0,train,0.10960437687118113,train,,,,,,,,
49,163,4,1,0,0,0,0,163,0,0,0,0,0,0,train,4.298585669965476,train,,,,,,,,
50,84,10,1,0,0,0,0,0,0,0,0,0,0,84,train,0.6368906297951928,train,,,,,,,,
51,117,2,1,0,0,117,0,0,0,0,0,0,0,0,train,2.143137845239043,train,,,,,,,,
52,111,3,1,0,0,0,111,0,0,0,0,0,0,0,train,1.82595929560859,train,,,,,,,,
53,163,1,8,57,67,6,22,1,0,1,8,1,0,0,train,4.348219725414666,train,,,,,,,,
54,174,0,1,174,0,0,0,0,0,0,0,0,0,0,train,4.9058677495694365,train,,,,,,,,
55,76,0,2,75,0,0,0,0,0,0,1,0,0,0,train,0.4809096786839461,train,,,,,,,,
56,16,0,1,16,0,0,0,0,0,0,0,0,0,0,train,0.04029348892593617,train,,,,,,,,
57,29,3,1,0,0,0,29,0,0,0,0,0,0,0,train,0.048764533736159875,train,,,,,,,,
58,88,4,3,0,0,0,0,85,0,0,0,2,0,1,train,0.7435217749512377,train,,,,,,,,
59,166,1,1,0,166,0,0,0,0,0,0,0,0,0,train,4.44578254224882,train,,,,,,,,
60,104,3,1,0,0,0,104,0,0,0,0,0,0,0,train,1.5062524103778414,train,,,,,,,,
62,156,1,1,0,156,0,0,0,0,0,0,0,0,0,train,3.8472648215870073,train,,,,,,,,
63,53,2,1,0,0,53,0,0,0,0,0,0,0,0,train,0.15274216690607895,train,,,,,,,,
64,142,3,4,1,0,3,134,4,0,0,0,0,0,0,train,3.2647009066834083,train,,,,,,,,
65,79,7,1,0,0,0,0,0,0,0,79,0,0,0,train,0.5357647991340876,train,,,,,,,,
66,147,3,1,0,0,0,147,0,0,0,0,0,0,0,train,3.560452748629615,train,,,,,,,,
67,31,3,1,0,0,0,31,0,0,0,0,0,0,0,train,0.05116031670383896,train,,,,,,,,
69,123,0,1,123,0,0,0,0,0,0,0,0,0,0,train,2.3810743613717653,train,,,,,,,,
70,27,3,4,1,0,1,23,0,0,0,2,0,0,0,train,0.04594996546854952,train,,,,,,,,
72,204,2,1,0,0,204,0,0,0,0,0,0,0,0,train,6.1837484370451,train,,,,,,,,
74,74,2,1,0,0,74,0,0,0,0,0,0,0,0,train,0.41884361848598334,train,,,,,,,,
75,97,2,1,0,0,97,0,0,0,0,0,0,0,0,train,1.1471962943640277,train,,,,,,,,
76,106,0,1,106,0,0,0,0,0,0,0,0,0,0,train,1.7261240914777405,train,,,,,,,,
77,83,2,1,0,0,83,0,0,0,0,0,0,0,0,train,0.6209531593152022,train,,,,,,,,
78,149,1,1,0,149,0,0,0,0,0,0,0,0,0,train,3.6266550537465907,train,,,,,,,,
79,89,2,1,0,0,89,0,0,0,0,0,0,0,0,train,0.7713780281322057,train,,,,,,,,
80,102,1,1,0,102,0,0,0,0,0,0,0,0,0,train,1.3559967678334306,train,,,,,,,,
81,92,1,1,0,92,0,0,0,0,0,0,0,0,0,train,0.9385602456467067,train,,,,,,,,
82,44,0,1,44,0,0,0,0,0,0,0,0,0,0,train,0.09003906362407998,train,,,,,,,,
84,182,3,1,0,0,0,182,0,0,0,0,0,0,0,train,5.400363106853172,train,,,,,,,,
85,19,3,1,0,0,0,19,0,0,0,0,0,0,0,train,0.04136851359596346,train,,,,,,,,
87,150,0,1,150,0,0,0,0,0,0,0,0,0,0,train,3.69984278294877,train,,,,,,,,
88,95,3,4,0,3,0,90,0,0,0,1,1,0,0,train,1.0748061833042946,train,,,,,,,,
89,100,3,1,0,0,0,100,0,0,0,0,0,0,0,train,1.2223910187708102,train,,,,,,,,
90,161,2,1,0,0,161,0,0,0,0,0,0,0,0,train,4.1070127193430634,train,,,,,,,,
91,160,3,5,5,1,0,152,0,1,1,0,0,0,0,train,4.031296951883959,train,,,,,,,,
92,179,8,1,0,0,0,0,0,0,0,0,179,0,0,train,5.185582714911192,train,,,,,,,,
93,50,3,1,0,0,0,50,0,0,0,0,0,0,0,train,0.12818383628958036,train,,,,,,,,
94,120,0,1,120,0,0,0,0,0,0,0,0,0,0,train,2.1823235231252505,train,,,,,,,,
95,84,0,2,67,0,0,0,0,0,0,17,0,0,0,train,0.6517672761864555,train,,,,,,,,
96,145,1,1,0,145,0,0,0,0,0,0,0,0,0,train,3.4976295370511203,train,,,,,,,,
97,79,3,1,0,0,0,79,0,0,0,0,0,0,0,train,0.5231403191334676,train,,,,,,,,
98,96,1,1,0,96,0,0,0,0,0,0,0,0,0,train,1.0975602645261258,train,,,,,,,,
99,37,0,2,36,0,0,0,0,0,0,0,1,0,0,train,0.0615316705267059,train,,,,,,,,
100,192,2,1,0,0,192,0,0,0,0,0,0,0,0,train,5.79589635939623,train,,,,,,,,
101,102,1,8,1,47,5,21,1,3,0,0,5,19,0,train,1.39672026479218,train,,,,,,,,
102,50,3,1,0,0,0,50,0,0,0,0,0,0,0,train,0.12263515259849633,train,,,,,,,,
103,38,8,1,0,0,0,0,0,0,0,0,38,0,0,train,0.06402743712982642,train,,,,,,,,
104,105,1,1,0,105,0,0,0,0,0,0,0,0,0,train,1.6119655195365103,train,,,,,,,,
105,98,1,1,0,98,0,0,0,0,0,0,0,0,0,train,1.1825721240947842,train,,,,,,,,
106,129,2,1,0,0,129,0,0,0,0,0,0,0,0,train,2.70563414527995,train,,,,,,,,
109,55,7,2,0,0,0,0,0,0,1,54,0,0,0,train,0.18553399180741573,train,,,,,,,,
110,41,2,2,0,1,40,0,0,0,0,0,0,0,0,train,0.07867434461106587,train,,,,,,,,
111,42,0,1,42,0,0,0,0,0,0,0,0,0,0,train,0.08541001923631128,train,,,,,,,,
112,93,1,1,0,93,0,0,0,0,0,0,0,0,0,train,0.9693549652641712,train,,,,,,,,
113,17,0,1,17,0,0,0,0,0,0,0,0,0,0,train,0.04037464890792064,train,,,,,,,,
114,103,9,1,0,0,0,0,0,0,0,0,0,103,0,train,1.4795364556682815,train,,,,,,,,
115,78,1,1,0,78,0,0,0,0,0,0,0,0,0,train,0.4999540547076267,train,,,,,,,,
