model_name,unseen_target_class_l3,unique_molecules,top1_softmax_mean_known_class,top1_softmax_mean_probability,softmax_class_tanimoto_rank,softmax_class_median_nearest_tanimoto,softmax_matches_direct_tanimoto_top1,top1_centroid_cosine_known_class,top1_centroid_cosine_similarity,centroid_class_tanimoto_rank,centroid_class_median_nearest_tanimoto,centroid_matches_direct_tanimoto_top1,mean_softmax_entropy
v1_random,Aspartic protease,241,Voltage-gated calcium channel,0.3104257881641388,2,0.2689075767993927,False,Voltage-gated calcium channel,0.7988588809967041,2,0.2689075767993927,False,0.46358728
v1_random,Cysteine protease,175,Transient receptor potential channel,0.4403482377529144,1,0.30000001192092896,True,Transient receptor potential channel,0.8111905455589294,1,0.30000001192092896,True,0.3537677
v1_random,DNA methyltransferase,293,Protein methyltransferase,0.2581225335597992,5,0.24742268025875092,False,Protein methyltransferase,0.7331740856170654,5,0.24742268025875092,False,0.47300234
v1_random,Endoplasmic reticular retrotranslocon family,591,Bromodomain,0.3004297912120819,2,0.28947368264198303,False,Voltage-gated calcium channel,0.68623286485672,9,0.24731183052062988,False,0.5139082
v1_random,GABA-A receptor,939,Voltage-gated sodium channel,0.407313734292984,1,0.3214285671710968,True,Voltage-gated sodium channel,0.7017549276351929,1,0.3214285671710968,True,0.4626777
v1_random,Protein kinase regulatory subunit,224,Protein Kinase,0.5264617800712585,2,0.25581395626068115,False,Protein Kinase,0.8572912216186523,2,0.25581395626068115,False,0.49202496
v1_random,Protein-glutamine glutamyl-transferase,471,Transient receptor potential channel,0.2576534748077392,1,0.31481480598449707,True,Transient receptor potential channel,0.6784224510192871,1,0.31481480598449707,True,0.4993868
v1_random,Ryanodine receptor,124,Transient receptor potential channel,0.4305026531219482,1,0.302173912525177,True,Transient receptor potential channel,0.7938207387924194,1,0.302173912525177,True,0.4821397
v1_random,Smoothened receptor (frizzled family GPCR),954,Transient receptor potential channel,0.3499302268028259,1,0.3243243098258972,True,Transient receptor potential channel,0.761709451675415,1,0.3243243098258972,True,0.5118515
v1_random,Taste receptor (taste family GPCR),477,Bromodomain,0.4880249798297882,1,0.3164556920528412,True,Bromodomain,0.7325353622436523,1,0.3164556920528412,True,0.27470818
v1_random,YEATS domain,145,Protein methyltransferase,0.2756423652172088,6,0.2916666567325592,False,Voltage-gated calcium channel,0.6959454417228699,2,0.3333333432674408,False,0.53444237
v2_scaffold,Aspartic protease,241,Voltage-gated calcium channel,0.3321624994277954,2,0.2689075767993927,False,Voltage-gated calcium channel,0.8287389278411865,2,0.2689075767993927,False,0.3693553
v2_scaffold,Cysteine protease,175,Transient receptor potential channel,0.4804845452308655,1,0.30000001192092896,True,Transient receptor potential channel,0.8214460611343384,1,0.30000001192092896,True,0.36761013
v2_scaffold,DNA methyltransferase,293,Protein methyltransferase,0.2676945626735687,5,0.24742268025875092,False,Protein methyltransferase,0.7756314277648926,5,0.24742268025875092,False,0.49668562
v2_scaffold,Endoplasmic reticular retrotranslocon family,591,Bromodomain,0.2893920242786407,2,0.28947368264198303,False,Transient receptor potential channel,0.6381480693817139,1,0.2906976640224457,True,0.72266185
v2_scaffold,GABA-A receptor,939,Voltage-gated sodium channel,0.4740867912769317,1,0.3214285671710968,True,Voltage-gated sodium channel,0.7561874389648438,1,0.3214285671710968,True,0.47656757
v2_scaffold,Protein kinase regulatory subunit,224,Protein Kinase,0.6147053837776184,2,0.25581395626068115,False,Protein Kinase,0.9153234958648682,2,0.25581395626068115,False,0.40395525
v2_scaffold,Protein-glutamine glutamyl-transferase,471,Transient receptor potential channel,0.2923455238342285,1,0.31481480598449707,True,Transient receptor potential channel,0.6833354830741882,1,0.31481480598449707,True,0.5320726
v2_scaffold,Ryanodine receptor,124,Transient receptor potential channel,0.4268487393856048,1,0.302173912525177,True,Transient receptor potential channel,0.7882031798362732,1,0.302173912525177,True,0.44712093
v2_scaffold,Smoothened receptor (frizzled family GPCR),954,Transient receptor potential channel,0.3106890916824341,1,0.3243243098258972,True,Transient receptor potential channel,0.7401785254478455,1,0.3243243098258972,True,0.5701672
v2_scaffold,Taste receptor (taste family GPCR),477,Bromodomain,0.4819098114967346,1,0.3164556920528412,True,Bromodomain,0.7067438960075378,1,0.3164556920528412,True,0.32060826
v2_scaffold,YEATS domain,145,Protein methyltransferase,0.2727379500865936,6,0.2916666567325592,False,Protein methyltransferase,0.6886370182037354,6,0.2916666567325592,False,0.6217825
v3_cluster,Aspartic protease,241,Voltage-gated calcium channel,0.3445742130279541,2,0.2689075767993927,False,Voltage-gated calcium channel,0.8756815195083618,2,0.2689075767993927,False,0.35415536
v3_cluster,Cysteine protease,175,Transient receptor potential channel,0.3895568549633026,1,0.30000001192092896,True,Transient receptor potential channel,0.7504030466079712,1,0.30000001192092896,True,0.60526174
v3_cluster,DNA methyltransferase,293,Protein methyltransferase,0.2368804067373275,5,0.24742268025875092,False,Protein methyltransferase,0.7023919820785522,5,0.24742268025875092,False,0.60545844
v3_cluster,Endoplasmic reticular retrotranslocon family,591,Transient receptor potential channel,0.3164972960948944,1,0.2906976640224457,True,Transient receptor potential channel,0.7484690546989441,1,0.2906976640224457,True,0.830069
v3_cluster,GABA-A receptor,939,Voltage-gated sodium channel,0.4251401126384735,1,0.3214285671710968,True,Voltage-gated sodium channel,0.710532546043396,1,0.3214285671710968,True,0.55652416
v3_cluster,Protein kinase regulatory subunit,224,Protein Kinase,0.361765593290329,2,0.25581395626068115,False,Protein Kinase,0.8224799633026123,2,0.25581395626068115,False,0.7525416
v3_cluster,Protein-glutamine glutamyl-transferase,471,Transient receptor potential channel,0.3503402471542358,1,0.31481480598449707,True,Transient receptor potential channel,0.7419604659080505,1,0.31481480598449707,True,0.7117956
v3_cluster,Ryanodine receptor,124,Bromodomain,0.2231823503971099,4,0.27597904205322266,False,Voltage-gated calcium channel,0.6584392786026001,2,0.2960354685783386,False,0.8309219
v3_cluster,Smoothened receptor (frizzled family GPCR),954,Transient receptor potential channel,0.4574219584465027,1,0.3243243098258972,True,Transient receptor potential channel,0.8174985647201538,1,0.3243243098258972,True,0.61127394
v3_cluster,Taste receptor (taste family GPCR),477,Bromodomain,0.2558960914611816,1,0.3164556920528412,True,Voltage-gated calcium channel,0.7208369970321655,4,0.27272728085517883,False,0.72631043
v3_cluster,YEATS domain,145,Voltage-gated calcium channel,0.3258610367774963,2,0.3333333432674408,False,Voltage-gated calcium channel,0.7846260666847229,2,0.3333333432674408,False,0.8036041
v4_controlled_similarity,Aspartic protease,241,Voltage-gated calcium channel,0.3590223789215088,2,0.2689075767993927,False,Voltage-gated calcium channel,0.881869912147522,2,0.2689075767993927,False,0.3415958
v4_controlled_similarity,Cysteine protease,175,Transient receptor potential channel,0.4140972793102264,1,0.30000001192092896,True,Transient receptor potential channel,0.7619803547859192,1,0.30000001192092896,True,0.56830615
v4_controlled_similarity,DNA methyltransferase,293,Protein methyltransferase,0.2380957007408142,5,0.24742268025875092,False,Protein methyltransferase,0.6961193680763245,5,0.24742268025875092,False,0.5809653
v4_controlled_similarity,Endoplasmic reticular retrotranslocon family,591,Transient receptor potential channel,0.3128858506679535,1,0.2906976640224457,True,Transient receptor potential channel,0.7436790466308594,1,0.2906976640224457,True,0.7809147
v4_controlled_similarity,GABA-A receptor,939,Voltage-gated sodium channel,0.4676440358161926,1,0.3214285671710968,True,Voltage-gated sodium channel,0.7412911653518677,1,0.3214285671710968,True,0.49152508
v4_controlled_similarity,Protein kinase regulatory subunit,224,Protein Kinase,0.3915900886058807,2,0.25581395626068115,False,Protein Kinase,0.8270471096038818,2,0.25581395626068115,False,0.717727
v4_controlled_similarity,Protein-glutamine glutamyl-transferase,471,Transient receptor potential channel,0.3553217947483063,1,0.31481480598449707,True,Transient receptor potential channel,0.7468564510345459,1,0.31481480598449707,True,0.67149
v4_controlled_similarity,Ryanodine receptor,124,Bromodomain,0.2431066483259201,4,0.27597904205322266,False,Voltage-gated calcium channel,0.6562134027481079,2,0.2960354685783386,False,0.7955807
v4_controlled_similarity,Smoothened receptor (frizzled family GPCR),954,Transient receptor potential channel,0.4573629200458526,1,0.3243243098258972,True,Transient receptor potential channel,0.8128782510757446,1,0.3243243098258972,True,0.5907051
v4_controlled_similarity,Taste receptor (taste family GPCR),477,Bromodomain,0.3097215890884399,1,0.3164556920528412,True,Voltage-gated calcium channel,0.6869728565216064,4,0.27272728085517883,False,0.68740046
v4_controlled_similarity,YEATS domain,145,Voltage-gated calcium channel,0.3841695189476013,2,0.3333333432674408,False,Voltage-gated calcium channel,0.8076050281524658,2,0.3333333432674408,False,0.6806118
